Name (or Code),RIC,ISIN,CUSIP/CINS,Type of Equity,Exchange,Country of Issuer
MPH Health Care AG,93M1k.DE,DE000A289V03,D5S5QX111,Ordinary Share,Xetra,Germany
PEH Wertpapier AG,PEHG.F,DE0006201403,D6007P100,Ordinary Share,Frankfurt Stock Exchange,Germany
Berentzen Gruppe AG,BEZ.DE,DE0005201602,D09044120,Ordinary Share,Xetra,Germany
Deutsche Real Estate AG,DREGa.F,DE0008055021,D1930A106,Ordinary Share,Frankfurt Stock Exchange,Germany
USU Software AG,OSPGk.DE,DE000A0BVU28,D1675W123,Ordinary Share,Xetra,Germany
Dr Hoenle AG,HNLG.DE,DE0005157101,D8343V106,Ordinary Share,Xetra,Germany
Hawesko Holding AG,HAWG.DE,DE0006042708,D3126K104,Ordinary Share,Xetra,Germany
EnBW Energie Baden Wuerttemberg AG,EBKG.DE,DE0005220008,D2542N106,Ordinary Share,Xetra,Germany
NUeRNBERGER Beteiligungs AG,NLVGn.DE,DE0008435967,D58157104,Ordinary Share,Xetra,Germany
PharmaSGP Holding SE,PSGG.DE,DE000A2P4LJ5,D6S8A3108,Ordinary Share,Xetra,Germany
Voltabox AG,VBX.F,DE000A2E4LE9,D94562101,Ordinary Share,Frankfurt Stock Exchange,Germany
Funkwerk AG,FEWG.F,DE0005753149,D45296106,Ordinary Share,Frankfurt Stock Exchange,Germany
Demire Deutsche Mittelstand Real Estate AG,DMRE.DE,DE000A0XFSF0,D1771G105,Ordinary Share,Xetra,Germany
UMT United Mobility Technology AG,UMDk.DE,DE000A2YN702,D8527P131,Ordinary Share,Xetra,Germany
Fortec Elektronik AG,FEVG.DE,DE0005774103,D26864104,Ordinary Share,Xetra,Germany
Netfonds AG,NF4.DE,DE000A1MME74,D5S845102,Ordinary Share,Xetra,Germany
Ringmetall SE,HP3An.DE,DE000A3E5E55,D65598126,Ordinary Share,Xetra,Germany
Gelsenwasser AG,WWGG.F,DE0007760001,D2775T101,Ordinary Share,Frankfurt Stock Exchange,Germany
Baader Bank AG,BLMG.DE,DE0005088108,D0537X105,Ordinary Share,Xetra,Germany
Paion AG,PA8G.DE,DE000A0B65S3,D59754107,Ordinary Share,Xetra,Germany
Enapter AG,H2OG.F,DE000A255G02,D70329111,Ordinary Share,Frankfurt Stock Exchange,Germany
Albis Leasing AG,MTVG.DE,DE0006569403,D02486138,Ordinary Share,Xetra,Germany
Altech Advanced Materials AG,AMA1n.F,DE000A2LQUJ6,D9817A156,Ordinary Share,Frankfurt Stock Exchange,Germany
All for One Group SE,A1OS.DE,DE0005110001,D0274C132,Ordinary Share,Xetra,Germany
Veganz Group AG,VEZ.DE,DE000A3E5ED2,D8T4KG110,Ordinary Share,Xetra,Germany
Beta Systems Software AG,BSSG.F,DE000A2BPP88,D0R79V138,Ordinary Share,Frankfurt Stock Exchange,Germany
Paul Hartmann AG,PHHGn.F,DE0007474041,D30968156,Ordinary Share,Frankfurt Stock Exchange,Germany
bet-at-home.com AG,ARTG.DE,DE000A0DNAY5,D1020B105,Ordinary Share,Xetra,Germany
EnviTec Biogas AG,ETGG.DE,DE000A0MVLS8,D25518107,Ordinary Share,Xetra,Germany
DocCheck AG,ANWGn.DE,DE000A1A6WE6,D2817E112,Ordinary Share,Xetra,Germany
FCR Immobilien AG,FC9.DE,DE000A1YC913,D2R2EL107,Ordinary Share,Xetra,Germany
clearvise AG,ABOG.DE,DE000A1EWXA4,D0058N106,Ordinary Share,Xetra,Germany
Alzchem Group AG,ACT1.DE,DE000A2YNT30,D0R02K100,Ordinary Share,Xetra,Germany
3U Holding AG,UUUG.DE,DE0005167902,D8291U118,Ordinary Share,Xetra,Germany
MPC Muenchmeyer Petersen Capital AG,MPCKk.DE,DE000A1TNWJ4,D5514A226,Ordinary Share,Xetra,Germany
LUDWIG BECK am Rathauseck Textilhaus Feldmeier AG,ECKG.DE,DE0005199905,D5078N101,Ordinary Share,Xetra,Germany
Weng Fine Art AG,WFTG.DE,DE0005181606,D9T96D102,Ordinary Share,Xetra,Germany
hGears AG,HGEA.DE,DE000A3CMGN3,D3R2UV105,Ordinary Share,Xetra,Germany
Katek Se,KTEK.DE,DE000A2TSQH7,D3S498105,Ordinary Share,Xetra,Germany
Serviceware SE,SJJG.DE,DE000A2G8X31,D6T088106,Ordinary Share,Xetra,Germany
UCA AG,UCA1.F,DE000A12UK57,D8488J132,Ordinary Share,Frankfurt Stock Exchange,Germany
Brockhaus Technologies AG,BKHTn.DE,DE000A2GSU42,D1T0Z7109,Ordinary Share,Xetra,Germany
Bauer AG,B5AG.DE,DE0005168108,D0639R105,Ordinary Share,Xetra,Germany
Magforce AG,MF6G.DE,DE000A0HGQF5,D52002108,Ordinary Share,Xetra,Germany
Adler Real Estate AG,ADLG.DE,DE0005008007,D0190J112,Ordinary Share,Xetra,Germany
First Sensor AG,SISG.DE,DE0007201907,D2740N106,Ordinary Share,Xetra,Germany
Medigene AG,MDG1k.DE,DE000A1X3W00,D5326M178,Ordinary Share,Xetra,Germany
Pferdewetten de AG,EMHn.DE,DE000A2YN777,D6073M114,Ordinary Share,Xetra,Germany
Shareholder Value Beteiligungen AG,SHVA.DE,DE000A168205,D7602J127,Ordinary Share,Xetra,Germany
Greiffenberger AG,GRFG.F,DE0005897300,D28527105,Ordinary Share,Frankfurt Stock Exchange,Germany
Finlab AG,A7AGn.DE,DE0001218063,D3704S107,Ordinary Share,Xetra,Germany
MAX Automation SE,MXHNn.DE,DE000A2DA588,D5S415120,Ordinary Share,Xetra,Germany
Ls Telcom AG,LSXG.DE,DE0005754402,D5076F100,Ordinary Share,Xetra,Germany
Noratis AG,NUVG.DE,DE000A2E4MK4,D5S2AB105,Ordinary Share,Xetra,Germany
SolarWorld AG,SWVKk.F,DE000A1YCMM2,D7045Y145,Ordinary Share,Frankfurt Stock Exchange,Germany
Schloss Wachenheim AG,SWAG.DE,DE0007229007,D69386106,Ordinary Share,Xetra,Germany
KPS AG,HACGn.DE,DE000A1A6V48,D4068T111,Ordinary Share,Xetra,Germany
Syzygy AG,SYZG.DE,DE0005104806,D8281W108,Ordinary Share,Xetra,Germany
Blue Cap AG,B7EG.DE,DE000A0JM2M1,D1170W107,Ordinary Share,Xetra,Germany
Medion AG,MDNG.DE,DE0006605009,D12144107,Ordinary Share,Xetra,Germany
Regenbogen AG,RGBG.F,DE0008009564,D6364V104,Ordinary Share,Frankfurt Stock Exchange,Germany
Edel SE & Co KgaA,EDLG.DE,DE0005649503,D2382X107,Ordinary Share,Xetra,Germany
Berliner Effektengesellschaft AG,BEFG.F,DE0005221303,D09555109,Ordinary Share,Frankfurt Stock Exchange,Germany
DFV Deutsche Familienversicherung AG,DFV.DE,DE000A2NBVD5,D2553G107,Ordinary Share,Xetra,Germany
Viscom AG,V6CG.DE,DE0007846867,D9506H108,Ordinary Share,Xetra,Germany
Scherzer & Co AG,PZSG.DE,DE0006942808,D61701104,Ordinary Share,Xetra,Germany
Tokentus Investment AG,14Dn.DE,DE000A3CN9R8,D8T6E8102,Ordinary Share,Xetra,Germany
DATA MODUL Produktion und Vertrieb von elektronischen Systemen AG,DAMG.DE,DE0005498901,D16754109,Ordinary Share,Xetra,Germany
Deutsche Cannabis AG,HEM1.F,DE000A0BVVK7,D192B7145,Ordinary Share,Frankfurt Stock Exchange,Germany
Defama Deutsche Fachmarkt AG,DEF.DE,DE000A13SUL5,D1S6ZU106,Ordinary Share,Xetra,Germany
ProCredit Holding AG & Co KGaA,PCZ.DE,DE0006223407,D61977100,Ordinary Share,Xetra,Germany
elumeo SE,ELBG.DE,DE000A11Q059,D2R3LZ106,Ordinary Share,Xetra,Germany
KSB SE & Co KGaA,KSBG.DE,DE0006292006,D47612102,Ordinary Share,Xetra,Germany
CoDon AG,CNWk.DE,DE000A3E5C08,D1534Z200,Ordinary Share,Xetra,Germany
Limes Schlosskliniken AG,LIK.DE,DE000A0JDBC7,D1R3TZ100,Ordinary Share,Xetra,Germany
Mvv Energie AG,MVVGn.DE,DE000A0H52F5,D5565G122,Ordinary Share,Xetra,Germany
Pyramid AG,M3Bk.DE,DE000A254W52,D5S38J141,Ordinary Share,Xetra,Germany
SMT Scharf AG,S4AG.DE,DE0005751986,D70018102,Ordinary Share,Xetra,Germany
Geratherm Medical AG,GMEG.DE,DE0005495626,D2799Q109,Ordinary Share,Xetra,Germany
Sedlmayr Grund und Immobilien AG,SPBH.F,DE0007224008,D69215107,Ordinary Share,Frankfurt Stock Exchange,Germany
Mainova AG,MNVG.F,DE0006553464,D51488118,Ordinary Share,Frankfurt Stock Exchange,Germany
Uzin Utz AG,UZUG.DE,DE0007551509,D1676C100,Ordinary Share,Xetra,Germany
Haemato AG,HAEk.DE,DE000A289VV1,D2926M112,Ordinary Share,Xetra,Germany
Muehlhan AG,M4NG.DE,DE000A0KD0F7,D5565P106,Ordinary Share,Xetra,Germany
ADM Hamburg AG,OELG.F,DE0007269003,D58613114,Ordinary Share,Frankfurt Stock Exchange,Germany
Orbis Se,OBS.DE,DE0005228779,D5915V100,Ordinary Share,Xetra,Germany
Accentro Real Estate AG,A4Y.DE,DE000A0KFKB3,D2561W102,Ordinary Share,Xetra,Germany
Sbf AG,CY1k.F,DE000A2AAE22,D1463H163,Ordinary Share,Frankfurt Stock Exchange,Germany
AHT Syngas Technology NV,3SQ1.F,NL0010872388,N8435K108,Ordinary Share,Frankfurt Stock Exchange,Germany
Heidelberg Pharma AG,HPHA.DE,DE000A11QVV0,D9687M199,Ordinary Share,Xetra,Germany
Heliad Equity Partners GmbH & Co KGaA,HPBGn.DE,DE000A0L1NN5,D3194G175,Ordinary Share,Xetra,Germany
Foris AG,FRSG.DE,DE0005775803,D2678Q105,Ordinary Share,Xetra,Germany
NORDWEST Handel AG,NWXG.F,DE0006775505,D5785W105,Ordinary Share,Frankfurt Stock Exchange,Germany
INTERSHOP Communications AG,ISH1k.DE,DE000A254211,D3R43J140,Ordinary Share,Xetra,Germany
CeoTronics Audio Video Data Communication AG,CEKG.DE,DE0005407407,D1498L106,Ordinary Share,Xetra,Germany
Medondo Holding AG,AMI1.F,DE0008131350,D04033102,Ordinary Share,Frankfurt Stock Exchange,Germany
MS Industrie AG,MSAG.DE,DE0005855183,D5516R102,Ordinary Share,Xetra,Germany
Daldrup & Soehne AG,4DSG.DE,DE0007830572,D2817D106,Ordinary Share,Xetra,Germany
2Invest AG,2INVn.DE,DE000A3H3L44,D2R8Z1162,Ordinary Share,Xetra,Germany
Delticom AG,DEXGn.DE,DE0005146807,D17569100,Ordinary Share,Xetra,Germany
Mueller Die lila Logistik SE,MLLG.DE,DE0006214687,D55249102,Ordinary Share,Xetra,Germany
SGT German Private Equity GmbH & Co KgaA,SGFn.DE,DE000A1MMEV4,D2R78K105,Ordinary Share,Xetra,Germany
Schwaelbchen Molkerei Jakob Berz AG,SMBG.F,DE0007218901,D68873104,Ordinary Share,Frankfurt Stock Exchange,Germany
Centogene NV,CNTG.O,NL0014040206,N1976T109,Ordinary Share,NASDAQ Global Market Consolidated,Germany
Kap AG,IURG.DE,DE0006208408,D36611107,Ordinary Share,Xetra,Germany
Erlebnis Akademie AG,EADG.DE,DE0001644565,D2R85A108,Ordinary Share,Xetra,Germany
BAVARIA Industries Group AG,B8AG.DE,DE0002605557,D07001106,Ordinary Share,Xetra,Germany
Biofrontera AG,B8FGn.DE,DE0006046113,D1R355102,Ordinary Share,Xetra,Germany
Bastei Luebbe AG,BST1.DE,DE000A1X3YY0,D0R1C2107,Ordinary Share,Xetra,Germany
Datron AG,DARG.DE,DE000A0V9LA7,D5648S101,Ordinary Share,Xetra,Germany
Quirin Privatbank AG,QB7G.DE,DE0005202303,D6S41N129,Ordinary Share,Xetra,Germany
Wild Bunch AG,WBAHk.F,DE000A2TSU21,D96896127,Ordinary Share,Frankfurt Stock Exchange,Germany
Merkur Privatbank KGaA,MBKG.DE,DE0008148206,D5358K108,Ordinary Share,Xetra,Germany
Friwo AG,CEAG.DE,DE0006201106,D2R05G102,Ordinary Share,Xetra,Germany
Singulus Technologies AG,SNGGk.DE,DE000A1681X5,D6T49K118,Ordinary Share,Xetra,Germany
AAA Allgemeine Anlageverwaltung AG,SWOG.F,DE0007228009,D00056107,Ordinary Share,Frankfurt Stock Exchange,Germany
Biotest AG,BIOG.DE,DE0005227201,D11732100,Ordinary Share,Xetra,Germany
Dierig Holding AG,DIEG.DE,DE0005580005,D21114125,Ordinary Share,Xetra,Germany
STINAG Stuttgart Invest AG,STGG.F,DE0007318008,D81926103,Ordinary Share,Frankfurt Stock Exchange,Germany
CR Capital AG,CRZKG.DE,DE000A2GS625,D1611H123,Ordinary Share,Xetra,Germany
Tio Tech A,TIOA.O,KYG8T10C1061,G8T10C106,Ordinary Share,NASDAQ Capital Market Consolidated,Germany
Mevis Medical Solutions AG,M3VGn.DE,DE000A0LBFE4,D5422B100,Ordinary Share,Xetra,Germany
United Labels AG,ULCG.DE,DE0005489561,D8541Y100,Ordinary Share,Xetra,Germany
11 88 0 Solutions AG,TGTG.DE,DE0005118806,D4943W107,Ordinary Share,Xetra,Germany
HanseYachts AG,H9YG.DE,DE000A0KF6M8,D32980100,Ordinary Share,Xetra,Germany
STS Group AG,SF3.DE,DE000A1TNU68,D8T6E9118,Ordinary Share,Xetra,Germany
Consus Real Estate AG,CC11.DE,DE000A2DA414,D1S9TZ106,Ordinary Share,Xetra,Germany
Seven Principles AG,T3T1k.DE,DE000A2AAA75,D6964D132,Ordinary Share,Xetra,Germany
CPU Softwarehouse AG,CPUGk.F,DE000A0WMPN8,D1641T139,Ordinary Share,Frankfurt Stock Exchange,Germany
Sporttotal AG,WIGGk.DE,DE000A1EMG56,D9680G132,Ordinary Share,Xetra,Germany
Verallia Deutschland AG,OLGG.F,DE0006851603,D58328101,Ordinary Share,Frankfurt Stock Exchange,Germany
Traumhaus AG,TRUG.DE,DE000A2NB7S2,D84268107,Ordinary Share,Xetra,Germany
DCI Database for Commerce and Industry AG,DCIGk.F,DE000A11QU11,D1702Y118,Ordinary Share,Frankfurt Stock Exchange,Germany
Surteco Group SE,SURG.DE,DE0005176903,D82793122,Ordinary Share,Xetra,Germany
Pantaflix AG,PALG.DE,DE000A12UPJ7,D5S8A3100,Ordinary Share,Xetra,Germany
Turbon AG,TURG.F,DE0007504508,D84862107,Ordinary Share,Frankfurt Stock Exchange,Germany
Mobotix AG,MBQGn.DE,DE0005218309,D5111L104,Ordinary Share,Xetra,Germany
Gigaset AG,GGS.DE,DE0005156004,D2824C109,Ordinary Share,Xetra,Germany
Mountain Alliance AG,ECF1.DE,DE000A12UK08,D2R4KC130,Ordinary Share,Xetra,Germany
Grounds Real Estate Development AG,AMMn.DE,DE000A2GSVV5,D3R6AZ109,Ordinary Share,Xetra,Germany
Linus Digital Finance AG,LDF.DE,DE000A2QRHL6,D5S9CN102,Ordinary Share,Xetra,Germany
Binect AG,MA10.DE,DE000A3H2135,D5S4HN108,Ordinary Share,Xetra,Germany
Progress Werk Oberkirch AG,PWOG.DE,DE0006968001,D62090101,Ordinary Share,Xetra,Germany
InCity Immobilien AG,IC8Gn.DE,DE000A0HNF96,D36250104,Ordinary Share,Xetra,Germany
Aifinyo AG,EBE.DE,DE000A2G8XP9,D2R04M100,Ordinary Share,Xetra,Germany
NorCom Information Technology GmbH & Co KgaA,NC5Ak.DE,DE000A12UP37,D5S240106,Ordinary Share,Xetra,Germany
CytoTools AG,T5OG.DE,DE000A0KFRJ1,D1648F108,Ordinary Share,Xetra,Germany
Ifa Systems AG,IS8G.DE,DE0007830788,D35758107,Ordinary Share,Xetra,Germany
Deutsche Balaton AG,BBHKk.F,DE000A2LQT08,D1R80A121,Ordinary Share,Frankfurt Stock Exchange,Germany
Plan Optik AG,P4OG.DE,DE000A0HGQS8,D6132C107,Ordinary Share,Xetra,Germany
Philomaxcap AG,HBD1.F,DE000A1A6WB2,D3158N141,Ordinary Share,Frankfurt Stock Exchange,Germany
AdCapital AG,ADCG.F,DE0005214506,D0061X109,Ordinary Share,Frankfurt Stock Exchange,Germany
Aap Implantate AG,AAQ1k.DE,DE000A3H2101,D0R3BD167,Ordinary Share,Xetra,Germany
Softing AG,SYTG.DE,DE0005178008,D7043U103,Ordinary Share,Xetra,Germany
Centrotherm International AG,CTNGk.F,DE000A1TNMM9,D1498H121,Ordinary Share,Frankfurt Stock Exchange,Germany
InTiCa Systems AG,IS7G.DE,DE0005874846,D37525116,Ordinary Share,Xetra,Germany
Simona AG,SIM0.F,DE000A3E5CP0,D6970X122,Ordinary Share,Frankfurt Stock Exchange,Germany
Delignit AG,DLXG.DE,DE000A0MZ4B0,D1752V105,Ordinary Share,Xetra,Germany
mVISE AG,C1VG.DE,DE0006204589,D1463C107,Ordinary Share,Xetra,Germany
123fahrschule SE,123F.DE,DE000A2P4HL9,D5S1LL103,Ordinary Share,Xetra,Germany
mwb Fairtrade Wertpapierhandelsbank AG,MWBG.DE,DE0006656101,D5565K107,Ordinary Share,Xetra,Germany
WASGAU Produktions & Handels AG,MSHGn.F,DE0007016008,D5223R122,Ordinary Share,Frankfurt Stock Exchange,Germany
Masterflex SE,MZXG.DE,DE0005492938,D5268C105,Ordinary Share,Xetra,Germany
Nfon AG,NFN.DE,DE000A0N4N52,D5S12K106,Ordinary Share,Xetra,Germany
GSW Immobilien AG,GIBG.F,DE000GSW1111,D31311109,Ordinary Share,Frankfurt Stock Exchange,Germany
PARK & Bellheimer AG,PKBG.F,DE0006902000,D59696100,Ordinary Share,Frankfurt Stock Exchange,Germany
Tonkens Agrar AG,GTK.DE,DE000A1EMHE0,D83838108,Ordinary Share,Xetra,Germany
Zhongde Waste Technology AG,ZEFG.F,DE000ZDWT018,D98594100,Ordinary Share,Frankfurt Stock Exchange,Germany
Paragon GmbH & Co KGaA,PGNG.DE,DE0005558696,D5963F106,Ordinary Share,Xetra,Germany
Ad Pepper Media International NV,APME.DE,NL0000238145,N00743109,Ordinary Share,Xetra,Germany
Niiio Finance Group AG,NIIGn.DE,DE000A2G8332,D5S1JM112,Ordinary Share,Xetra,Germany
OVB Holding AG,O4BG.DE,DE0006286560,D4943D109,Ordinary Share,Xetra,Germany
TC Unterhaltungselektronik AG,TCUG.F,DE0007454209,D8295K108,Ordinary Share,Frankfurt Stock Exchange,Germany
Sdm SE,75Sn.DE,DE000A3CM708,D6T98B100,Ordinary Share,Xetra,Germany
Schweizer Electronic AG,SWEGn.DE,DE0005156236,D68902127,Ordinary Share,Xetra,Germany
DF Deutsche Forfait AG,DFTKn.DE,DE000A2AA204,D2R35N127,Ordinary Share,Xetra,Germany
4Sc AG,VSCk.DE,DE000A3E5C40,D2R63S188,Ordinary Share,Xetra,Germany
Allane SE,LNSX.DE,DE000A0DPRE6,D6T540122,Ordinary Share,Xetra,Germany
Mediclin AG,MEDG.DE,DE0006595101,D5315Z107,Ordinary Share,Xetra,Germany
TELES Informationstechnologien AG,TLIK.DE,DE000A289B07,D83095154,Ordinary Share,Xetra,Germany
Tradegate AG Wertpapierhandelsbank,T2GG.F,DE0005216907,D8295U106,Ordinary Share,Frankfurt Stock Exchange,Germany
Softline AG,SFDGk.F,DE000A2DAN10,D7043Z193,Ordinary Share,Frankfurt Stock Exchange,Germany
audius SE,3IT.F,NL0006129074,N47539106,Ordinary Share,Frankfurt Stock Exchange,Germany
InVision AG,IVXG.DE,DE0005859698,D3515U101,Ordinary Share,Xetra,Germany
Grammer AG,GMMG.DE,DE0005895403,D28515100,Ordinary Share,Xetra,Germany
UeSTRA Hannoversche Verkehrsbetriebe AG,HVBG.F,DE0008250002,D84947106,Ordinary Share,Frankfurt Stock Exchange,Germany
Creditshelf AG,CSQG.DE,DE000A2LQUA5,D1R2SZ103,Ordinary Share,Xetra,Germany
Bio-Gate AG,BIG1k.DE,DE000BGAG981,D11350127,Ordinary Share,Xetra,Germany
Alexanderwerk AG,ALXG.F,DE0005032007,D02632103,Ordinary Share,Frankfurt Stock Exchange,Germany
HMS Bergbau AG,HMUG.DE,DE0006061104,D3R2LM105,Ordinary Share,Xetra,Germany
Deutsche Effecten und Wechsel Beteiligungsgesellschaft AG,EFFG.DE,DE0008041005,D18492104,Ordinary Share,Xetra,Germany
TubeSolar AG,9TS.DE,DE000A2PXQD4,D8T5CQ106,Ordinary Share,Xetra,Germany
Pittler Maschinenfabrik AG,PITG.F,DE0006925001,D61235103,Ordinary Share,Frankfurt Stock Exchange,Germany
ERWE Immobilien AG,ERWE.F,DE000A1X3WX6,D20032112,Ordinary Share,Frankfurt Stock Exchange,Germany
Brueder Mannesmann AG,BMMG.F,DE0005275507,D1401A106,Ordinary Share,Frankfurt Stock Exchange,Germany
Vapiano SE,VAO.F,DE000A0WMNK9,D8T66T105,Ordinary Share,Frankfurt Stock Exchange,Germany
infas Holding AG,IFS1.F,DE0006097108,D3426D107,Ordinary Share,Frankfurt Stock Exchange,Germany
Varengold Bank AG,VG8G.DE,DE0005479307,D8566G141,Ordinary Share,Xetra,Germany
UniDevice AG,UDCG.DE,DE000A11QLU3,D6S5AX108,Ordinary Share,Xetra,Germany
KHD Humboldt Wedag International AG,KWGG.DE,DE0006578008,D4024H102,Ordinary Share,Xetra,Germany
Solutiance AG,SLSGk.DE,DE000A30U9E2,D7T4DS171,Ordinary Share,Xetra,Germany
European Healthcare Acquisition & Growth Company BV,EHCS.AS,NL0015000K10,D242PZ166,Ordinary Share,Euronext Amsterdam,Germany
SM Wirtschaftsberatungs AG,SMWN.DE,DE000A1RFMZ1,D7026M193,Ordinary Share,Xetra,Germany
Value Management & Research AG,VMR1k.F,DE000A1RFHN7,D85774152,Ordinary Share,Frankfurt Stock Exchange,Germany
Valora Effekten Handel AG,VEHG.F,DE0007600108,D8572B102,Ordinary Share,Frankfurt Stock Exchange,Germany
Realtech AG,RTCG.DE,DE0007008906,D6363U107,Ordinary Share,Xetra,Germany
NEXR Technologies SE,NXRG.DE,DE000A1K03W5,D00785101,Ordinary Share,Xetra,Germany
Ahlers AG,AAHG.F,DE0005009740,D0R90Q100,Ordinary Share,Frankfurt Stock Exchange,Germany
International School Augsburg ISA gemeinnuetzige AG,9JKn.F,DE000A2AA1Q5,D3606N107,Ordinary Share,Frankfurt Stock Exchange,Germany
Readcrest Capital AG,EXJ.F,DE000A1E89S5,D6S2DH115,Ordinary Share,Frankfurt Stock Exchange,Germany
Artnet AG,AYDGn.DE,DE000A1K0375,D0406V115,Ordinary Share,Xetra,Germany
SHS Viveon AG,SHSGk.F,DE000A0XFWK2,D6953W216,Ordinary Share,Frankfurt Stock Exchange,Germany
Capsensixx AG,CPXG.DE,DE000A2G9M17,D144AA108,Ordinary Share,Xetra,Germany
IGP Advantag AG,A62.DE,DE000A1EWVR2,D0R93C108,Ordinary Share,Xetra,Germany
MATERNUS-Kliniken-AG,MAKG.DE,DE0006044001,D31880103,Ordinary Share,Xetra,Germany
asknet Solutions AG,ASKn.DE,DE000A2E3707,D0R6GY110,Ordinary Share,Xetra,Germany
Deutsche Biotech Innovativ AG,DBIG.F,DE000A0Z25L1,D8601N101,Ordinary Share,Frankfurt Stock Exchange,Germany
B+S Banksysteme AG,DTDGk.DE,DE0001262152,D1672W126,Ordinary Share,Xetra,Germany
Pearl Gold AG,PGAG.F,DE000A0AFGF3,D4855T118,Ordinary Share,Frankfurt Stock Exchange,Germany
R Stahl AG,RSL2.DE,DE000A1PHBB5,D6607M143,Ordinary Share,Xetra,Germany
Cyan AG,CYR.DE,DE000A2E4SV8,D1T0ZP109,Ordinary Share,Xetra,Germany
KROMI Logistik AG,K1RG.DE,DE000A0KFUJ5,D48015107,Ordinary Share,Xetra,Germany
Westag AG,WUG.F,DE0007775207,D95850109,Ordinary Share,Frankfurt Stock Exchange,Germany
TTL Beteiligungs und Grundbesitz AG,TTOG.F,DE0007501009,D8468N103,Ordinary Share,Frankfurt Stock Exchange,Germany
Sleepz AG,BTBB.F,DE000A2E3772,D1T0GZ108,Ordinary Share,Frankfurt Stock Exchange,Germany
Fair Value REIT-AG,FVIG.F,DE000A0MW975,D2714M100,Ordinary Share,Frankfurt Stock Exchange,Germany
Eifelhoehen-Klinik AG,EIFG.F,DE0005653604,D24043107,Ordinary Share,Frankfurt Stock Exchange,Germany
Verianos Se,GIVG.DE,DE000A0Z2Y48,D6438J111,Ordinary Share,Xetra,Germany
HWA AG,H9WG.DE,DE000A0LR4P1,D3303J102,Ordinary Share,Xetra,Germany
Coreo AG,COR2.DE,DE000A0B9VV6,D178Z5142,Ordinary Share,Xetra,Germany
Elexxion AG,E8XG.DE,DE000A0KFKH0,D25108107,Ordinary Share,Xetra,Germany
InterCard Informationssysteme AG,II8G.F,DE000A0JC0V8,D3707R106,Ordinary Share,Frankfurt Stock Exchange,Germany
Pro DV AG,PDAG.DE,DE0006967805,D6200W100,Ordinary Share,Xetra,Germany
Eisen und Huettenwerke AG,EISG.F,DE0005658009,D24239101,Ordinary Share,Frankfurt Stock Exchange,Germany
Sparta AG,SPTG.F,DE000A0NK3W4,D8022T141,Ordinary Share,Frankfurt Stock Exchange,Germany
AS Creation Tapeten AG,ACWNn.DE,DE000A1TNNN5,D0407X110,Ordinary Share,Xetra,Germany
Splendid Medien AG,SPME.DE,DE0007279507,D7607A105,Ordinary Share,Xetra,Germany
Mineralbrunnen Ueberkingen-Teinach GmbH & Co KgaA,MUTG.F,DE0006614001,D54167115,Ordinary Share,Frankfurt Stock Exchange,Germany
Plenum AG,PLEKk.F,DE000A161Z44,D6S3QA122,Ordinary Share,Frankfurt Stock Exchange,Germany
DVS Technology AG,DISG.DE,DE0005538607,D21513110,Ordinary Share,Xetra,Germany
Intertainment AG,ITMG.DE,DE0006223605,D3624Z108,Ordinary Share,Xetra,Germany
Clockchain AG,U1DAk.F,DE000A3MQC96,D1T3Z0108,Ordinary Share,Frankfurt Stock Exchange,Germany
Vivanco Gruppe AG,VVAGk.F,DE000A1E8G88,D8824D179,Ordinary Share,Frankfurt Stock Exchange,Germany
German Values Property Group AG,TVD6.F,DE000A0L1NQ8,D8426U264,Ordinary Share,Frankfurt Stock Exchange,Germany
UET United Electronic Technology AG,CFCG.DE,DE000A0LBKW6,D8501W102,Ordinary Share,Xetra,Germany
BBI Buergerliches Brauhaus Immobilien AG,BBIG.F,DE0005280002,D0853H122,Ordinary Share,Frankfurt Stock Exchange,Germany
RCM Beteiligungs AG,RCMN.DE,DE000A1RFMY4,D6362N179,Ordinary Share,Xetra,Germany
ROY Asset Holding SE,RY8.F,DE000RYSE888,D6S0AT108,Ordinary Share,Frankfurt Stock Exchange,Germany
Ymos AG,YMSG.F,DE0007847303,D98115120,Ordinary Share,Frankfurt Stock Exchange,Germany
Primag AG,P9RG.F,DE0005870323,D6S807100,Ordinary Share,Frankfurt Stock Exchange,Germany
Artec Technologies AG,A6TG.DE,DE0005209589,D0R39A125,Ordinary Share,Xetra,Germany
Epigenomics AG,ECXn.DE,DE000A3H2184,D2492N148,Ordinary Share,Xetra,Germany
Lewag Holding AG,KGRG.F,DE0006336001,D50177100,Ordinary Share,Frankfurt Stock Exchange,Germany
WCM Beteiligungsund Grundbesitz-AG,WCMKk.DE,DE000A1X3X33,D9546Q175,Ordinary Share,Xetra,Germany
Hyrican Informationssysteme AG,HYIG.F,DE0006004500,D3457J106,Ordinary Share,Frankfurt Stock Exchange,Germany
Net Digital AG,VRL.F,DE000A2BPK34,D8T9DG109,Ordinary Share,Frankfurt Stock Exchange,Germany
GBS Software AG,INWk.DE,DE000A3MQR99,D2R2FC122,Ordinary Share,Xetra,Germany
Webac Holding AG,RKBG.F,DE0008103102,D64769108,Ordinary Share,Frankfurt Stock Exchange,Germany
Elanix Biotechnologies AG,ELNk.F,DE000A0WMJQ4,D2518E106,Ordinary Share,Frankfurt Stock Exchange,Germany
